age,Lhat,sigma,lower,upper
17.75,208.053509378083,14.3820150157611,179.865277922077,236.241740834089
18,208.134697119511,14.3817877601652,179.946911076288,236.322483162733
18.25,208.210750209308,14.3815748771616,180.023381409105,236.39811900951
18.5,208.281993384274,14.3813754577677,180.095015438901,236.468971329647
18.75,208.348730843499,14.3811886504886,180.162119033665,236.535342653333
19,208.411247547252,14.3810136576816,180.224978717018,236.597516377487
19.25,208.469810433727,14.38084973215,180.28386289163,236.655757975823
19.5,208.52466955883,14.3806961739533,180.339022985268,236.710316132391
19.75,208.576059163889,14.3805523274178,180.390694524356,236.761423803421
20,208.624198675833,14.3804175783377,180.439098139644,236.809299212022
20.25,208.669293644116,14.3802913513518,180.484440508274,236.854146779958
20.5,208.711536618387,14.3801731074873,180.52691523626,236.896158000513
20.75,208.75110797065,14.3800623418583,180.566703685167,236.935512256133
21,208.788176665432,14.3799585815101,180.603975746495,236.97237758437
21.25,208.822900981238,14.3798613833993,180.638890567097,237.006911395379
21.5,208.85542918638,14.3797703325028,180.671597228717,237.039261144043
21.75,208.885900172061,14.3796850400449,180.702235384544,237.069564959579
22,208.914444045428,14.3796051418382,180.730935855518,237.097952235337
